Baker Name,Baker Age,Baker Occupation,Hometown,Episode,Series.x,Signature Bake,Show Stopper,result,Baker,Series.y,series,episode,technical
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,OUT,Mark,4,4,3,11
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,4,4,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,4,5,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,4,6,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,4,7,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,4,8,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,4,9,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,4,10,NA
Mark Whithers,48,Bus Driver,South Wales,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,OUT,Mark,1,1,1,NA
Mark Whithers,48,Bus Driver,South Wales,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,1,1,2,NA
